iter	Accuracy	MultiClass
354	0.6517259993	0.8690605284
355	0.6531463517	0.8688398956
356	0.6530384769	0.8683607758
357	0.6535059346	0.867999391
358	0.6552139533	0.8675516996
359	0.6552139533	0.8673536808
360	0.6557353484	0.8670461108
361	0.656436535	0.8667440746
362	0.6556094944	0.8662378753
363	0.6558971607	0.8657872737
364	0.6569759094	0.8654876484
365	0.6577849708	0.8649101253
366	0.658558074	0.8645556542
367	0.6574433671	0.8642577028
368	0.657677096	0.8637953142
369	0.6582704077	0.8635550668
370	0.658683928	0.8632677558
371	0.6596368227	0.8629295067
372	0.6598705516	0.8626427811
373	0.6590974484	0.8622028525
374	0.6605178007	0.8618538061
375	0.6627112563	0.8612409581
376	0.6634663804	0.8607800644
377	0.6635742552	0.8604991111
378	0.6648867327	0.8600587152
379	0.6645271499	0.8597520842
380	0.6647069413	0.8595097542
381	0.6647069413	0.8592604339
382	0.6649586493	0.8587091629
383	0.6665587932	0.8582038211
384	0.6662531477	0.8580400436
385	0.6647249205	0.8576977306
386	0.6662531477	0.8571540148
387	0.6671521049	0.856641855
388	0.6670262509	0.8562890054
389	0.6683207493	0.8560576569
390	0.6685544781	0.8558815029
391	0.6681948952	0.8555170548
392	0.6675656252	0.8553001087
393	0.6683387284	0.8548750292
394	0.6697590808	0.8543228714
395	0.6690578942	0.8541396207
396	0.66977706	0.8536845936
397	0.6695972685	0.8533180116
398	0.6692376857	0.8529046588
399	0.6709996418	0.8526182295
400	0.6699928097	0.8522380868
401	0.6709457043	0.8519147415
402	0.6705861214	0.8513672255
403	0.6728155353	0.8510419802
404	0.6729234101	0.8507304128
405	0.673282993	0.8504557563
406	0.6728694727	0.8501068564
407	0.6733549096	0.8498669034
408	0.6740560962	0.8495789706
409	0.6739302422	0.8491631784
410	0.6751708031	0.8487374668
411	0.6750089909	0.848121181
412	0.6749370743	0.8478706551
413	0.6759978438	0.8474400909
414	0.6768248844	0.8470553569
415	0.6763574266	0.8464893909
416	0.6779216121	0.8458478938
417	0.6774541544	0.8453373088
418	0.6781193827	0.8449691718
419	0.6784789656	0.8446504635
420	0.6784609865	0.8441085202
421	0.6777058624	0.8435899997
422	0.6790542982	0.8432905285
423	0.6794138811	0.8429257292
424	0.67964761	0.8426129529
425	0.6800611303	0.8422791417
426	0.6799532554	0.8417797627
427	0.6807263586	0.8412863928
428	0.6790363191	0.8406026689
429	0.680025172	0.840090277
430	0.6805645464	0.8399357391
431	0.6820927736	0.8395720991
432	0.6829737517	0.8391033259
433	0.6838547297	0.8387137509
434	0.6835490842	0.8382973132
435	0.6846278329	0.8377579049
436	0.6860481853	0.8372941131
437	0.6855627484	0.8368117553
438	0.6867493719	0.8363459331
439	0.6869111842	0.8359577544
440	0.6881517451	0.8356755511
441	0.6878101414	0.8352220174
442	0.6886911194	0.8348398952
443	0.6896440141	0.834352816
444	0.6909025542	0.8340151848
445	0.6903631799	0.8337118581
446	0.6910643665	0.8332374548
447	0.6917655531	0.832740181
448	0.6911722413	0.8323155537
449	0.691513845	0.8320803242
450	0.691513845	0.8318770079
451	0.6915318242	0.8313316235
452	0.692125136	0.8311174916
453	0.6935634675	0.8307594836
454	0.6936713424	0.8304648374
455	0.6948399867	0.8300880727
456	0.6940129461	0.8297059534
457	0.6942646541	0.8293932426
458	0.6952714862	0.8289143917
459	0.6946062578	0.8287472516
460	0.6959546936	0.8281014657
461	0.6968896091	0.8276930289
462	0.697123338	0.8273834374
463	0.6974829209	0.827029121
464	0.6978425037	0.8266884869
465	0.6996763764	0.8263107307
466	0.6989212524	0.8259022628
467	0.699622439	0.8256547008
468	0.699748293	0.8253514596
469	0.698741461	0.8248543071
470	0.699748293	0.8244621091
471	0.7011686454	0.8241093397
